"4.1.s1 Completion Rate"

"Geolocation";"Level of Education";"Sex";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"PHILIPPINES";"Elementary";"Both Sexes";62.7;68.2;71.6;70.2;69.1;68.1;71.7;73.1;73.3;72.2;72.1;71.0;72.7;77.7;83.7;84.0;93.1;92.4;97.2;96.6;82.5;...;...
"PHILIPPINES";"Elementary";"Female";65.5;70.7;76.3;75.6;75.2;73.5;76.7;78.3;77.9;77.5;77.1;75.7;77.2;81.3;86.2;87.4;95.5;94.6;99.1;98.1;84.7;...;...
"PHILIPPINES";"Elementary";"Male";60.1;65.8;67.2;65.4;63.6;63.3;67.3;68.4;69.1;67.4;67.7;66.8;68.6;74.4;81.5;81.0;90.8;90.4;95.3;95.1;80.5;...;...
"PHILIPPINES";"Secondary (Junior High School)";"Both Sexes";70.1;70.0;74.8;71.7;72.4;61.7;72.1;75.4;75.2;73.6;75.1;74.4;74.6;76.3;77.8;74.0;80.9;84.3;88.8;85.8;82.1;...;...
"PHILIPPINES";"Secondary (Junior High School)";"Female";72.3;72.9;80.0;77.2;77.8;68.1;77.0;80.5;79.9;78.3;80.3;80.3;79.7;81.0;81.7;78.5;85.6;88.1;93.0;89.7;85.9;...;...
"PHILIPPINES";"Secondary (Junior High School)";"Male";67.7;66.7;69.5;66.0;66.9;55.1;67.2;70.2;70.4;68.8;69.9;68.6;69.6;71.6;73.9;69.7;76.2;80.5;84.7;81.9;78.4;...;...
"PHILIPPINES";"Secondary (Senior High School)";"Both Sexes";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;81.0;76.7;69.3;...;...
"PHILIPPINES";"Secondary (Senior High School)";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;84.8;80.5;74.6;...;...
"PHILIPPINES";"Secondary (Senior High School)";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;77.2;73.0;64.2;...;...
