"Geolocation;""Level of Education"";""Sex"";""2000"";""2001"";""2002"";""2003"";""2004"";""2005"";""2006"";""2007"";""2008"";""2009"";""2010"";""2011"";""2012"";""2013"";""2014"";""2015"";""2016"";""2017"";""2018"";""2019"";""2020"";""2021"";""2022"""
"PHILIPPINES;""Elementary"";""Both Sexes"";..;..;..;..;..;..;6.4;6.0;6.0;6.3;6.3;6.4;6.2;4.6;3.3;2.7;1.5;1.6;0.5;0.6;3.8;...;..."
"PHILIPPINES;""Elementary"";""Female"";..;..;..;..;..;..;5.0;4.7;4.9;4.9;5.0;5.2;5.1;3.8;2.8;2.0;1.0;1.1;0.1;0.3;3.3;...;..."
"PHILIPPINES;""Elementary"";""Male"";..;..;..;..;..;..;7.6;7.2;7.1;7.5;7.5;7.5;7.3;5.3;3.7;3.3;2.0;2.0;0.8;1.1;4.2;...;..."
"PHILIPPINES;""Secondary (Junior High School)"";""Both Sexes"";..;..;..;..;..;..;8.6;7.5;7.5;8.0;7.8;7.8;8.0;7.6;6.7;6.6;6.2;5.2;3.8;4.7;6.2;...;..."
"PHILIPPINES;""Secondary (Junior High School)"";""Female"";..;..;..;..;..;..;6.7;5.6;5.8;6.2;5.7;5.6;6.1;5.8;5.5;5.0;4.4;3.7;2.2;3.2;4.7;...;..."
"PHILIPPINES;""Secondary (Junior High School)"";""Male"";..;..;..;..;..;..;10.5;9.3;9.1;9.7;9.5;10.0;10.0;9.4;8.0;8.3;7.9;6.7;5.3;6.2;7.6;...;..."
"PHILIPPINES;""Secondary (Senior High School)"";""Both Sexes"";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3.9;4.8;6.6;...;..."
"PHILIPPINES;""Secondary (Senior High School)"";""Female"";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2.9;3.8;5.3;...;..."
"PHILIPPINES;""Secondary (Senior High School)"";""Male"";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;4.9;5.8;8.0;...;..."
